	201908	프레임워크	91
	201908	창의적사고	85
	201908	데이터베이스	85
	202143	고대한국사	89
	202143	인터넷개론	81
	201931	프레임워크	94
	201931	데이터베이스	93
	201931	고대한국사	90
	201826	웹프로그래밍	79
	201826	창의적사고	86
	202272	인터넷개론	81
	202272	창의적사고	82
	202181	인터넷개론	95
	202181	웹프로그래밍	98
	202181	고대한국사	93
	202181	데이터베이스	98
	201966	데이터베이스	92
	201966	웹프로그래밍	95
	201966	창의적사고	88
	202206	인터넷개론	91
	202206	창의적사고	88
	202053	창의적사고	83
	202053	고대한국사	82
	201846	데이터베이스	90
	201846	프레임워크	89
	201846	고대한국사	88
	202048	웹프로그래밍	92
	202048	프레임워크	89
	202267	인터넷개론	81
	202267	창의적사고	81
	202125	창의적사고	78
	202125	웹프로그래밍	80
